"sha256","path"
"9D67A5BBF8C011E26440F4D359897FC660582D8D49C4EBFEF36932CDA60A1549","code/analysis_provenance/p2_a6b_counterfactual_physics_execution__3F0AD453DEC3.py"
"B184DF27A9D832F2CD662BD8F6A005D35A293E58B99A486F54DAEBFACAE67D8F","code/analysis_provenance/p2_a7b_interpretability_uncertainty_execution__FD2BBF2C1C26.py"
"1255FEB36A5E1E16DF5A39CC1B0B72907F9A9218EB1CEBD384730EA4E5039C10","code/publication_utilities/make_evidence_overview_video.py"
"4E1AA4E8C0660B01A81DCE6124CAD18A5B5259506CCBBA673763B07F42D71CC9","code/publication_utilities/verify_reported_results.py"
"76F5CC9C4F3AE449D68E6F2F18AE0F437E03622B6A8BCBF9AE704E2B2A42615C","derived_evidence/P1_A1_FILE_SUMMARY__76F5CC9C4F3A.csv"
"B78D1A9EFA450BFC88BB60555DB8AE5CF76ADC142BDB8BDC3A66EB4C7BC29AE0","derived_evidence/P1_A1_FILE_SUMMARY__B78D1A9EFA45.csv"
"F4CF5FF3A451BAA25242CAAFB42E09159EEB9343930FA9DFBD378C7085EB2B13","derived_evidence/P1_A1_FILE_SUMMARY__F4CF5FF3A451.csv"
"6AFDE1FA0160B6D39C8381AA2BDE84F253F094CF2204B2E735C4992A15EB7D8B","derived_evidence/P1_A5B_AUDIT__6AFDE1FA0160.json"
"B78B54B5D7C57DA06863098E5852FD0620E8B538FD4E07CF77165E87696F942B","derived_evidence/P1_A5B_BINDING__B78B54B5D7C5.json"
"DA5AFFA80C4B262388E75C2C40F8ED28F372AF2A56A04E36BA147D9C197E7FFD","derived_evidence/P1_A5B_DRAG_BRANCH_RESULTS__DA5AFFA80C4B.csv"
"0990F4FE806259AF66BABFFE5278F67AA289508E647278CCE90E760A2BD3843C","derived_evidence/P1_A5B_DRAG_COEFFICIENTS__0990F4FE8062.csv"
"7A41BB5FE92DF2739A8695FF6A250BF1232438E3564818DEB0BCA26234E52B3B","derived_evidence/P1_A5B_GATE_CHECKS__7A41BB5FE92D.csv"
"FF5C44654CA1B6C6E62E006D4EF6628CA5757D44E35C0F67D4F72F3CB06C9D7D","derived_evidence/P1_A5B_IDENTIFICATION_DRAG_RESULT_CONTRACT__FF5C44654CA1.json"
"A40995E9464544357B383BE097874A91D7CAF434E2237B4E2079A3EC288C49F8","derived_evidence/P1_A5B_RECONSTRUCTION_DIAGNOSTICS__A40995E94645.csv"
"1A76CF7195ABD1D627ECE4F4517AB9E018FEC16B9C2623AAA95F4A5DEC7F0122","derived_evidence/P1_A5C_AUDIT__1A76CF7195AB.json"
"FA3DA8CD8ABD1049788211FFF95B42641F23EA2C5C94D649309553F1E00D97D2","derived_evidence/P1_A5C_BINDING__FA3DA8CD8ABD.json"
"1CD7DA3790B58978B6FA48FCA33F46262FEACF012C25A6C769295D7AD0D61153","derived_evidence/P1_A5C_DRAG_VALIDATION_BRANCH_RESULTS__1CD7DA3790B5.csv"
"81A10FD6B2F3B9327DF3996DB08C2BCF4B0F584173B63456A09997E43B81147C","derived_evidence/P1_A5C_DRAG_VALIDATION_RESULT_CONTRACT__81A10FD6B2F3.json"
"225FC237F83D0387A186BD9A3D00874E717DE9A9052B65011EC9DB2655475245","derived_evidence/P1_A5C_GATE_CHECKS__225FC237F83D.csv"
"F5EB8FA70833F13FC8C759A9C8DFE26F6201D369AFA1E0BC84344F93CFBE9452","derived_evidence/P1_A5C_RECONSTRUCTION_DIAGNOSTICS__F5EB8FA70833.csv"
"E1F9816C67624CD3884D42252FDD43BFB63B89558E741819D90603EA2586C108","derived_evidence/P1_A5C_VALIDATION_SUPPORT__E1F9816C6762.csv"
"42B13D1BB4577859950ADC264E0E9201379A95C93A5C6053DF13B50E00A5A415","derived_evidence/P1_A5D_BINDING__42B13D1BB457.json"
"6A5AD976DB8E44EF554F2016B38B75BE25B0C856277EAF2561DE993D9B136311","derived_evidence/P1_A5D_DRAG_BRANCH_COMPARISON__6A5AD976DB8E.csv"
"4525DC92C4E8326D34D9B1C1D8378B7774746AE5023F53A5FBE6F154774987B1","derived_evidence/P1_A5D_FINAL_DRAG_CLAIM_FREEZE_CONTRACT__4525DC92C4E8.json"
"AD08AEB86F6B73D449469E8F5F05E84B482F5FC6096987AF270027386FBF35CD","derived_evidence/P1_A5D_GATE_CHECKS__AD08AEB86F6B.csv"
"E39E86E7B732C2761AD4DE25B1E9A32C5F0268AEE570E47E0AA854F921A36CBC","derived_evidence/P1_A6B_DIMENSIONAL_BRANCH_RESULTS__E39E86E7B732.csv"
"38778C98A01098998107E86E237B049A8C0780DF4406E05843A0018B8915B872","derived_evidence/P1_A6B_DIMENSIONAL_CONSEQUENCE_RESULT_CONTRACT__38778C98A010.json"
"C370299D8B04BA21B1C6F234A1232D709A0FC782A5ED9A873AD67B69386D4D6B","derived_evidence/P1_A7B_EFFICIENCY_BRANCH_RESULTS__C370299D8B04.csv"
"A297F215C8EEB2E12354AD5172237EB1D8ABED1D8B825C1C535DCCF42AF5A1BE","derived_evidence/P1_A7B_IDENTIFICATION_EFFICIENCY_RESULT_CONTRACT__A297F215C8EE.json"
"E3E862DED0CBB46C602ED6950641927B21BF91F1B5809F9ADDB1C5E4B675935D","derived_evidence/P1_A7B_PAIR_SUPPORT__E3E862DED0CB.csv"
"4D2C447825C7552291B394C95E4748E2315AFE1E9EE0EF7D1D563DF47C20744E","derived_evidence/P1_A7C_EFFICIENCY_VALIDATION_BRANCH_RESULTS__4D2C447825C7.csv"
"F0F6772D89303AE31EE7DE31F5D70E3E828F9E37C850BD154F64DC702A4C2A54","derived_evidence/P1_A7C_EFFICIENCY_VALIDATION_BRANCH_RESULTS__F0F6772D8930.json"
"A90FD6A28A950CA3099C6022ACF087BB20A72C1F1249A6B6BD770A2B641FA200","derived_evidence/P1_A7C_REFERENCE_EFFICIENCY_VALIDATION_RESULT_CONTRACT__A90FD6A28A95.json"
"E1F9816C67624CD3884D42252FDD43BFB63B89558E741819D90603EA2586C108","derived_evidence/P1_A7C_VALIDATION_SUPPORT__E1F9816C6762.csv"
"6B11CF80BED9B70AB0A11DF9DA2DB1FB65FB3534B102C1DE46E0FD74F32CEDC0","derived_evidence/P1_A8B_BATTERY_POWER_PREANALYSIS_CONTRACT__6B11CF80BED9.json"
"B38C48B1D739B175420AD77AA4ECE99D211972378A0FB21FB521ABF5B9916266","derived_evidence/P1_A8B_BATTERY_POWER_PREANALYSIS_CONTRACT__B38C48B1D739.json"
"1C32D6D6E851323CE0D41ABF767584D3D9717D76484343D06E90723DDB49B86C","derived_evidence/P1_A8B_BINDING__1C32D6D6E851.json"
"E76D18A8D04C9C09A9A5CF22E177045BC08DBF21F959FB789663AECDAB23A591","derived_evidence/P1_A8B_BINDING__E76D18A8D04C.json"
"38E9DE4EB81019D39FB5419C7003A61C55529935870AC927EB5DAEF6DC76B72A","derived_evidence/P1_A8B_GATE_CHECKS__38E9DE4EB810.csv"
"45056D3EA2A2CCDA2A559F460D9E1660C9600BC1AAAA918E1E379B123CCFB9C8","derived_evidence/P1_A8B_README_SEMANTIC_EVIDENCE__45056D3EA2A2.csv"
"DB64A6BC0098F4A66019AC849B959A8380FE8236BFD206159A82A0266D98A33B","derived_evidence/P1_A8B_REQUIRED_CHANNEL_HEADER_AUDIT__DB64A6BC0098.csv"
"C1E9BD6E6185A437C1CF967CBBD0356A7194A4CFEB7CA3BAD3ADC78A77D55912","derived_evidence/P1_A8C_AUDIT__C1E9BD6E6185.json"
"9239D9AD232448D431D9716BE2528EAC2CA68A0AC89AA289C87DA927004CA2BD","derived_evidence/P1_A8C_BATTERY_POWER_BRANCH_RESULTS__9239D9AD2324.csv"
"A3C0A2893F4F408094D27081BD929D19BF6981C76F088F67273D1937A4F5214D","derived_evidence/P1_A8C_BATTERY_POWER_COEFFICIENTS__A3C0A2893F4F.csv"
"252F6A7C54921B4CE412EFC1ED687013895A94075B8AB2B13A52604A59739C2B","derived_evidence/P1_A8C_BINDING__252F6A7C5492.json"
"2EFAACEA736484B93F46215ACCA69B3F92B058C67C479A292A885F5660FAD1BB","derived_evidence/P1_A8C_GATE_CHECKS__2EFAACEA7364.csv"
"4175C179C78BB9C10311F23F43DF608CE763BC6257F78EAFC13AC0F12F3E639F","derived_evidence/P1_A8C_IDENTIFICATION_BATTERY_POWER_RESULT_CONTRACT__4175C179C78B.json"
"CCE9D4FF11EE45064BD8B9F8A1D168321358FAF73960BE4DACC14A25045CB723","derived_evidence/P1_A8C_PAIR_SUPPORT__CCE9D4FF11EE.csv"
"B95E52C02B7EE4C578AEA58FBDA1807342B61354740218F2104BB5248DD331F2","derived_evidence/P1_A8C_VOLTAGE_CURRENT_DIAGNOSTIC__B95E52C02B7E.csv"
"A54FA769D6CA51742C2D31F81610716A9E40D39790239C09AC107EC7C9087FD3","derived_evidence/P1_A8D_BINDING__A54FA769D6CA.json"
"77B3458598889FB96B6D3EF7262221291F84C8EBBD74F082ABD7FE43C7665F33","derived_evidence/P1_A8D_VALIDATION_AUDIT__77B345859888.json"
"F2C9BFEF2FF506126495427A7C4DC9AB7D0138F722221B649042B4F61E8DF5B0","derived_evidence/P1_A8D_VALIDATION_BATTERY_POWER_BRANCH_RESULTS__F2C9BFEF2FF5.csv"
"5C82390F669F9576F3503F47851DF89E5D2C7F744B0A21FBD3A51C7E2C5B9B5B","derived_evidence/P1_A8D_VALIDATION_BATTERY_POWER_COEFFICIENTS__5C82390F669F.csv"
"FEE8743552FA780D8D8A2ECAA0385A902730E9A4D378C852DC5655848D80E603","derived_evidence/P1_A8D_VALIDATION_BATTERY_POWER_RESULT_CONTRACT__FEE8743552FA.json"
"3D1F3FA825C1A361B431EC5495C699EBC1CAC86055B6EE600F57D6552F696A87","derived_evidence/P1_A8D_VALIDATION_GATE_CHECKS__3D1F3FA825C1.csv"
"A9708EE7CCD93FCEB4DCAF87FA2E88DEA02EF4DF3B127599FD820E0F77C89192","derived_evidence/P1_A8D_VALIDATION_PAIR_SUPPORT__A9708EE7CCD9.csv"
"BB04E47C83C567E4ABE468854E2653DB6CA360B323FD65FAE7108FCD70FDEC0D","derived_evidence/P1_A8D_VALIDATION_VOLTAGE_CURRENT_DIAGNOSTIC__BB04E47C83C5.csv"
"5C3CE19B8A25BA80BB05A011DF1B168C444525AA5906D2D57484AB0F0E73E8CF","derived_evidence/P1_A8E_BINDING__5C3CE19B8A25.json"
"5B360199F4DD637D1B2CD16782D8FB9F1F17420672BD856A8283634629F5F55E","derived_evidence/P1_A8E_FINAL_BATTERY_POWER_CLAIM_FREEZE_CONTRACT__5B360199F4DD.json"
"74E0DFF5C30C0CC1CDECCC912535453BB0B5FECDDC721740A022AFD4DDEEBF7A","derived_evidence/P2_A1B_R4A_R2_DIAGNOSTIC_SUMMARY__74E0DFF5C30C.json"
"C7AA6A7AA38E22CFA807DD391B8F39C4917A4C66239FFB8793D6F93B5A890D19","derived_evidence/P2_A1B_R4A_R3_SUMMARY__C7AA6A7AA38E.json"
"4B77CF44F52F10536F60ADE79B27581C34672EF1CBBF4351C21A371EB46C2301","derived_evidence/P2_A2_INNER_FOLD_SUMMARY__4B77CF44F52F.csv"
"76276DC005AE7DAF50F782E9737963BF76E430962B8F57323C572F2CD1F9E709","derived_evidence/P2_A2_OUTER_FOLD_SUMMARY__76276DC005AE.csv"
"855CA54F6F462C31FD002DE99FDACAC6179F8AF07A2D774E15C5D0A4882B1289","derived_evidence/P2_A3_EXECUTION_SUMMARY__855CA54F6F46.json"
"9B7650C725563B7981264C177A9B4E700C6D497D5ECC98B4D3FE922580CF59CA","derived_evidence/P2_A3_FAMILY_SUMMARY__9B7650C72556.csv"
"8F30B958DE15F4AB8881CC072D46791AE3B8EE43B0C6FFA9C0D4FF0CA183F84B","derived_evidence/P2_A3_INNER_TUNING_RESULTS__8F30B958DE15.csv"
"9B06A10605D46E9FAB8F15178F463AEE7B934B4F92CA27BC5ED86182C83899A8","derived_evidence/P2_A3_OUTER_FOLD_RESULTS__9B06A10605D4.csv"
"EB8F7D3135F93EBDC1FB242012C75B12AECC91C1575A7028AE76185856851DFB","derived_evidence/P2_A3B_ROBUSTNESS_SUMMARY__EB8F7D3135F9.json"
"3F30E19D6718B7D44E74D1F1AC55ACEE5E3C34B3120251CD533C4F119F590B81","derived_evidence/P2_A4B_EXECUTION_SUMMARY__3F30E19D6718.json"
"5B6883332C99EF18CACEC9A372C951CDAF4E73D5AD72199C94F583CE8B2BC55B","derived_evidence/P2_A4B_INNER_NEURAL_RESULTS__5B6883332C99.csv"
"BD5C8F807710A1EE821375A15381A0A95A162A379BAA0B600F4F54DA1625F1AF","derived_evidence/P2_A4B_OUTER_AGGREGATE_RESULTS__BD5C8F807710.csv"
"4DA800FCF7853EBBF3965D9BCB3D2AA08040A6D9C5904941FAE6E6F287FDDDB7","derived_evidence/P2_A4B_OUTER_SEED_RESULTS__4DA800FCF785.csv"
"43C2ED870455184E1862AC8595601E49B10326ECE1AEC41C82F1071BE8D6D283","derived_evidence/P2_A5B_R1_LOCKED_EXTERNAL_VALIDATION_SUMMARY__43C2ED870455.json"
"A7DCDCBC66E74C8722D6E8BF0BA15F44FF78351479684FB7E4539AF73001751E","derived_evidence/P2_A5B_R1_LOCKED_PAIR_BOOTSTRAP_CI__A7DCDCBC66E7.csv"
"557BAB72829C4D4D081130DFA717C99E1A13076E36DDCA138C1D575A92D62534","derived_evidence/P2_A5C_PAIR_HETEROGENEITY_SUMMARY__557BAB72829C.json"
"D7E8214CA8C54C0BD677AC8627E7FA8A9D433B583656165BBCDF3E0DA400EBE8","derived_evidence/P2_A5C_TARGET_LEVEL_LOCKED_RESULTS__D7E8214CA8C5.csv"
"E04C3E373DD79EF77FD50DFE62F386E737E50A526DF17814AAE9B3DE4631946C","derived_evidence/P2_A6A_COMMON_SUPPORT_CALIBRATION__E04C3E373DD7.json"
"19D57AB1CB5BAE3F1B1CD3929F7FC5C62CECC6553A98BF54B1AA6C75C5C7CCA0","derived_evidence/P2_A6B_COUNTERFACTUAL_PHYSICS_SUMMARY__19D57AB1CB5B.json"
"F5C6CD937F948C3729D186D9CE603DC9EC3DF83723F018DFF0E5D4FBC9BFDC00","derived_evidence/P2_A6B_DRAG_SUPPORT_SENSITIVITY__F5C6CD937F94.csv"
"6DCF3C03C61BBDA7608E4942EF768425921D0EE92AE224F96B99898DDDC00648","derived_evidence/P2_A6B_PAIR_BOOTSTRAP_CI__6DCF3C03C61B.csv"
"B583EF8888F859606AA5ABA5DBCB301EE2A8B88EAE281FA81366B4D2CCBD7ED7","derived_evidence/P2_A6B_SUPPORT_COVERAGE__B583EF8888F8.csv"
"B334062EA7F8F512B6EDC5B4CFAF2C9D45DFB6C28D66A5C8CE8B20078AEA8FB2","derived_evidence/P2_A6C_SUPPORT_SENSITIVITY_SUMMARY__B334062EA7F8.csv"
"1484BB47F526FA9AAA8184F123002CB6FA6D57092D10670F5EEA6691BABEDD3F","derived_evidence/P2_A7A_BINDING__1484BB47F526.json"
"19279C59EC06D6961E4903712D74672E4506B9FFB5DCFBC977FBD250972E34B8","derived_evidence/P2_A7A_INTERPRETABILITY_UNCERTAINTY_PREANALYSIS_CONTRACT__19279C59EC06.json"
"3490BD9C045BEA9083CF3D24371E3B17BF7413EC8B340165D0C11BF5AFB63C94","derived_evidence/P2_A7B_ARTIFACT_SHA256__3490BD9C045B.csv"
"9FEEF6BDCFC203801E6E8BCDC205E1465D42EA60581ABAC0F08F599BDB8FEF80","derived_evidence/P2_A7B_BINDING__9FEEF6BDCFC2.json"
"0C638182BBDB83648964405A15AF19D61DD18ACDF1205C34855878B635A60111","derived_evidence/P2_A7B_FROZEN_INTERPRETABILITY_UNCERTAINTY_EXECUTION_CONTRACT__0C638182BBDB.json"
"F146F2F66BA81F58668E76F9B120ED56E8C2C8B8C87A6E99FEBC404B1B528D56","derived_evidence/P2_A7B_INTERPRETABILITY_UNCERTAINTY_SUMMARY__F146F2F66BA8.json"
"BB101FA97546932DEF158EF111B44B9D5C9D99B56896246052A74E6BFE5EFAB5","derived_evidence/P2_A7B_NATIVE_EXTRATREES_IMPORTANCE__BB101FA97546.csv"
"83DCE4616B7426D3EEC2D304886C1E0234702AFED9F3FC802A364B725BEFB031","derived_evidence/P2_A7B_NATIVE_PERMUTATION_CONCORDANCE__83DCE4616B74.json"
"21E68B38AAF5351CC539EC278EB040101E024847329E3F1697E05D4EEAB28BB5","derived_evidence/P2_A7B_PERMUTATION_IMPORTANCE__21E68B38AAF5.csv"
"9CADC4C23E8A0FF687100F8269C95583277720F24312011AD480D145C32A3CDC","derived_evidence/P2_A7B_PERMUTATION_PAIR_FEATURE_DELTAS__9CADC4C23E8A.csv"
"3E6F06A34A9528EF1CA9B8DD50A85C7DF6EF4866697EFAB0FB61B5A950CA288C","derived_evidence/P2_A7B_PERMUTATION_REPEAT_SUMMARY__3E6F06A34A95.csv"
"7E5B4A2F91F62643196A6338199F8B9B80A2879D84CFFCC56E730002CD0DDD8A","derived_evidence/P2_A7B_SUPPORT_DISTANCE_ERROR_ASSOCIATION__7E5B4A2F91F6.json"
"81C5847B9315A97B75A6F44A9C14A60491C43CEE62B80E4A3E655ADEA51235AE","derived_evidence/P2_A7B_SUPPORT_DISTANCE_PAIR_ERROR__81C5847B9315.csv"
"7D599030EC1552DC4DCC99CF62EA92AC4C7709A5EDE1F23786A7E59CFBDAECE9","derived_evidence/P2_A7B_TREE_DISPERSION_ERROR_ASSOCIATIONS__7D599030EC15.csv"
"A32C592F402E2B8B5617EAF28DEDDB232388F663DFD71425AC7A8E176B75F02A","derived_evidence/P2_A7B_TREE_DISPERSION_PAIR_TARGET__A32C592F402E.csv"
"52692083C60461FD0F54C31A483A79A1C034ABCE87A6E10EF04048C29CEBBD72","derived_evidence/P2_A7C_BINDING__52692083C604.json"
"DC070AD40DC7CD091D4757FE0B1F64BD5773FF5039E5EDD51F23E69B7181EA4F","derived_evidence/P2_A7C_CONTINUOUS_FEATURE_RANKING__DC070AD40DC7.csv"
"CC01DE791505A34609B8D126B8DAC4BFE418171823C73F84E69E973FC1D47ADB","derived_evidence/P2_A7C_TERMINAL_INTERPRETABILITY_UNCERTAINTY_ADJUDICATION_CONTRACT__CC01DE791505.json"
"3559BB96E47965B44A2D51E5E385D0BF2255D1D52D6B1F1CCAEA3382C8514283","derived_evidence/P2_A7C_TREE_DISPERSION_TARGET_ADJUDICATION__3559BB96E479.csv"
"E47BA560DF9918C862F53429D1E2CCA444D533432E0E1EAF5414BA1E830FB62B","manifests/analysis_code_export.csv"
"79C387966D3C5F897E9D12D95D27F73D4CEE2847BB111BB3D9597311434B635B","manifests/MANUSCRIPT_VERSION.txt"
"8C5A23D6146F32B79DFF00D24656EDA4C2BD0C48094AB095AAC0477E549ACFFA","media/figures/fig01_analysis_architecture.pdf"
"F96BA9375E556252509A9D75DE34C10AACDE342B38FD503A6EA2AEB7B9D3D20D","media/figures/fig01_analysis_architecture.png"
"0066BCC3D703E8863F0AC715C7C577EEA2B625A30655838E4012A5885A73D6BA","media/figures/fig02_evidence_attrition.pdf"
"895A5544B12993B8809720029A8CC1156720E2E0407993D74A4512C653A33DFC","media/figures/fig02_evidence_attrition.png"
"51B61DA795964D2197B76EFEFE35957F933E4B6A3607CDF911F08205858BA93D","media/figures/fig02_evidence_attrition_v2.pdf"
"35668D4663DF7A41D4DD7AD9ED02CBB213E6B33D3AC079BD10CE153901D13F20","media/figures/fig03_p1_drag_sensitivities.pdf"
"7F189F2B79D85C5DF51AFE392E83A7BB372E7FABEF01F2CF07AF2D8227E6E91A","media/figures/fig03_p1_drag_sensitivities.png"
"FF59A394EC13A4B409C10CB907D614A5C6C3306FFCEE02D6E6A859CDA735C142","media/figures/fig03_reference_state_results_v2.pdf"
"438C5F7DAE5FEF35EE773B8D913B8DB60C3103DF25B9255DEB3B49E4579CDE03","media/figures/fig04_p2_model_validation.pdf"
"7FA2C2646DA02A66235D7B9C42524B22F028DBDC70D5896126F3206C2DE30455","media/figures/fig04_p2_model_validation.png"
"DBD6C61AB3616997EAB849A1CB03191CB903E382473661C365E15BEA6BA9CD70","media/figures/fig04_surrogate_validation_v2.pdf"
"05E2C1772DCACA5B9A4074DFF647BC6CFE0CC5713B7027DACBD265932BAC9D15","media/figures/fig05_drag_identifiability_v2.pdf"
"10DBC121AE07945B9C4FE1DCB3D9A3DE66A31141E263127A3CFF774A7B439E35","media/figures/fig05_t1_propulsion_branches.pdf"
"8031D67446E814B1A2B3415927CF7DB66C4588A3CD589D03BFB8F76DD9CFB81A","media/figures/fig05_t1_propulsion_branches.png"
"8C9D39E07A3DFD78C5D5F917B489DB7FA0366BDA88B0D6A9C074FC72B24A6C30","media/figures/fig06_cross_method_synthesis_v2.pdf"
"82F8F9922AB0811F2DDE50E1F9E22CF1C51B64985FAB1CB65889E7BE99680F80","media/figures/fig06_operational_consequences.pdf"
"0FF1A897BCF040584B57450A8ABA5D2B19D0D32FAC56B6FDE042938AE7DF1745","media/figures/fig06_operational_consequences.png"
"5ACF01F3952BA40D943BC968D434944C0438DF98CC6F3BE1CA96F5DFCC500217","media/x8_icing_evidence_overview.mp4"
"3B5C72B5E6085F97877B3BD337C30DE76075C0D9FF3002E960F6F93EDEE5E370","README.md"
"B74CA572DE8CE346E4E26218150C1680FAD9D2BF1A87E04EFC43E22AE7C85B32","RELEASE_NOTES.md"
